puzzle_file,valid,makespan,duration_s
npuzzle_10x10_len3_62.txt,True,1,0.0000
npuzzle_10x10_len3_63.txt,True,1,0.0000
npuzzle_10x10_len3_64.txt,True,3,0.0007
npuzzle_10x10_len3_65.txt,True,3,0.0007
npuzzle_10x10_len3_66.txt,True,1,0.0000
npuzzle_10x10_len3_67.txt,True,3,0.0005
npuzzle_10x10_len3_68.txt,True,3,0.0004
npuzzle_10x10_len3_69.txt,True,1,0.0001
npuzzle_10x10_len3_6.txt,True,3,0.0003
npuzzle_10x10_len3_70.txt,True,3,0.0005
npuzzle_10x10_len3_71.txt,True,3,0.0003
npuzzle_10x10_len3_72.txt,True,3,0.0004
npuzzle_10x10_len3_73.txt,True,3,0.0006
npuzzle_10x10_len3_74.txt,True,1,0.0000
npuzzle_10x10_len3_75.txt,True,3,0.0003
npuzzle_10x10_len3_76.txt,True,1,0.0001
npuzzle_10x10_len3_77.txt,True,1,0.0001
npuzzle_10x10_len3_78.txt,True,3,0.0004
npuzzle_10x10_len3_79.txt,True,3,0.0004
npuzzle_10x10_len3_7.txt,True,1,0.0001
npuzzle_10x10_len3_80.txt,True,3,0.0005
npuzzle_10x10_len3_81.txt,True,3,0.0003
npuzzle_10x10_len3_82.txt,True,3,0.0006
npuzzle_10x10_len3_83.txt,True,3,0.0004
npuzzle_10x10_len3_84.txt,True,3,0.0004
npuzzle_10x10_len3_85.txt,True,3,0.0007
npuzzle_10x10_len3_86.txt,True,1,0.0000
npuzzle_10x10_len3_87.txt,True,1,0.0000
npuzzle_10x10_len3_88.txt,True,1,0.0000
npuzzle_10x10_len3_89.txt,True,1,0.0000
npuzzle_10x10_len3_8.txt,True,1,0.0000
npuzzle_10x10_len3_90.txt,True,1,0.0000
npuzzle_10x10_len3_91.txt,True,3,0.0002
npuzzle_10x10_len3_92.txt,True,1,0.0000
npuzzle_10x10_len3_93.txt,True,3,0.0005
npuzzle_10x10_len3_94.txt,True,3,0.0005
npuzzle_10x10_len3_95.txt,True,3,0.0003
npuzzle_10x10_len3_96.txt,True,3,0.0007
npuzzle_10x10_len3_97.txt,True,3,0.0004
npuzzle_10x10_len3_98.txt,True,1,0.0001
npuzzle_10x10_len3_99.txt,True,1,0.0000
npuzzle_10x10_len3_9.txt,True,3,0.0004
npuzzle_10x10_len4_0.txt,True,4,0.0010
npuzzle_10x10_len4_10.txt,True,4,0.0006
npuzzle_10x10_len4_11.txt,True,4,0.0006
npuzzle_10x10_len4_12.txt,,,
npuzzle_10x10_len4_13.txt,,,
npuzzle_10x10_len4_14.txt,True,2,0.0001
npuzzle_10x10_len4_15.txt,True,2,0.0001
npuzzle_10x10_len4_16.txt,True,4,0.0009
npuzzle_10x10_len4_17.txt,True,4,0.0027
npuzzle_10x10_len4_18.txt,True,4,0.0017
npuzzle_10x10_len4_19.txt,,,
npuzzle_10x10_len4_1.txt,,,
npuzzle_10x10_len4_20.txt,True,4,0.0007
npuzzle_10x10_len4_21.txt,True,2,0.0001
npuzzle_10x10_len4_22.txt,True,2,0.0001
npuzzle_10x10_len4_23.txt,True,2,0.0001
npuzzle_10x10_len4_24.txt,True,4,0.0016
npuzzle_10x10_len4_25.txt,True,4,0.0008
npuzzle_10x10_len4_26.txt,True,4,0.0008
npuzzle_10x10_len4_27.txt,True,2,0.0001
npuzzle_10x10_len4_28.txt,True,2,0.0001
npuzzle_10x10_len4_29.txt,True,2,0.0001
npuzzle_10x10_len4_2.txt,,,
npuzzle_10x10_len4_30.txt,True,2,0.0001
npuzzle_10x10_len4_31.txt,True,4,0.0008
npuzzle_10x10_len4_32.txt,True,2,0.0001
npuzzle_10x10_len4_33.txt,True,4,0.0020
npuzzle_10x10_len4_34.txt,True,2,0.0001
npuzzle_10x10_len4_35.txt,,,
npuzzle_10x10_len4_36.txt,True,4,0.0030
npuzzle_10x10_len4_37.txt,True,4,0.0016
npuzzle_10x10_len4_38.txt,,,
npuzzle_10x10_len4_39.txt,True,2,0.0001
npuzzle_10x10_len4_3.txt,True,2,0.0001
npuzzle_10x10_len4_40.txt,True,2,0.0001
npuzzle_10x10_len4_41.txt,True,2,0.0001
npuzzle_10x10_len4_42.txt,,,
npuzzle_10x10_len4_43.txt,,,
npuzzle_10x10_len4_44.txt,True,2,0.0001
npuzzle_10x10_len4_45.txt,,,
npuzzle_10x10_len4_46.txt,True,2,0.0001
npuzzle_10x10_len4_47.txt,True,2,0.0001
npuzzle_10x10_len4_48.txt,True,2,0.0001
npuzzle_10x10_len4_49.txt,True,4,0.0020
npuzzle_10x10_len4_4.txt,,,
npuzzle_10x10_len4_50.txt,True,2,0.0001
npuzzle_10x10_len4_51.txt,True,4,0.0011
npuzzle_10x10_len4_52.txt,True,2,0.0001
npuzzle_10x10_len4_53.txt,True,2,0.0002
npuzzle_10x10_len4_54.txt,True,2,0.0001
npuzzle_10x10_len4_55.txt,True,4,0.0006
npuzzle_10x10_len4_56.txt,True,2,0.0001
npuzzle_10x10_len4_57.txt,True,2,0.0001
npuzzle_10x10_len4_58.txt,True,2,0.0001
npuzzle_10x10_len4_59.txt,,,
npuzzle_10x10_len4_5.txt,True,2,0.0001
npuzzle_10x10_len4_60.txt,True,4,0.0010
npuzzle_10x10_len4_61.txt,True,2,0.0001
npuzzle_10x10_len4_62.txt,True,4,0.0011
npuzzle_10x10_len4_63.txt,True,4,0.0011
npuzzle_10x10_len4_64.txt,True,4,0.0008
npuzzle_10x10_len4_65.txt,,,
npuzzle_10x10_len4_66.txt,True,2,0.0001
npuzzle_10x10_len4_67.txt,,,
npuzzle_10x10_len4_68.txt,True,4,0.0012
npuzzle_10x10_len4_69.txt,True,2,0.0001
npuzzle_10x10_len4_6.txt,True,2,0.0001
npuzzle_10x10_len4_70.txt,True,4,0.0010
npuzzle_10x10_len4_71.txt,True,2,0.0001
npuzzle_10x10_len4_72.txt,True,4,0.0026
npuzzle_10x10_len4_73.txt,,,
npuzzle_10x10_len4_74.txt,True,2,0.0001
npuzzle_10x10_len4_75.txt,True,4,0.0011
npuzzle_10x10_len4_76.txt,True,4,0.0024
npuzzle_10x10_len4_77.txt,True,4,0.0010
npuzzle_10x10_len4_78.txt,,,
npuzzle_10x10_len4_79.txt,True,2,0.0001
npuzzle_10x10_len4_7.txt,True,4,0.0011
npuzzle_10x10_len4_80.txt,,,
npuzzle_10x10_len4_81.txt,True,2,0.0001
npuzzle_10x10_len4_82.txt,True,2,0.0001
npuzzle_10x10_len4_83.txt,True,2,0.0001
npuzzle_10x10_len4_84.txt,True,2,0.0001
npuzzle_10x10_len4_85.txt,True,2,0.0001
npuzzle_10x10_len4_86.txt,True,4,0.0004
npuzzle_10x10_len4_87.txt,True,4,0.0008
npuzzle_10x10_len4_88.txt,True,4,0.0011
npuzzle_10x10_len4_89.txt,True,2,0.0001
npuzzle_10x10_len4_8.txt,,,
npuzzle_10x10_len4_90.txt,True,4,0.0015
npuzzle_10x10_len4_91.txt,True,4,0.0004
npuzzle_10x10_len4_92.txt,True,4,0.0009
npuzzle_10x10_len4_93.txt,True,2,0.0001
npuzzle_10x10_len4_94.txt,True,4,0.0006
npuzzle_10x10_len4_95.txt,True,2,0.0001
npuzzle_10x10_len4_96.txt,,,
npuzzle_10x10_len4_97.txt,True,2,0.0001
npuzzle_10x10_len4_98.txt,True,2,0.0001
npuzzle_10x10_len4_99.txt,True,2,0.0001
npuzzle_10x10_len4_9.txt,True,2,0.0000
npuzzle_10x10_len5_0.txt,True,1,0.0000
npuzzle_10x10_len5_10.txt,True,3,0.0002
npuzzle_10x10_len5_11.txt,True,3,0.0006
npuzzle_10x10_len5_12.txt,True,1,0.0000
npuzzle_10x10_len5_13.txt,True,5,0.0047
npuzzle_10x10_len5_14.txt,True,1,0.0000
npuzzle_10x10_len5_15.txt,True,3,0.0002
npuzzle_10x10_len5_16.txt,True,3,0.0003
npuzzle_10x10_len5_17.txt,True,1,0.0000
npuzzle_10x10_len5_18.txt,True,1,0.0000
npuzzle_10x10_len5_19.txt,True,1,0.0000
npuzzle_10x10_len5_1.txt,True,3,0.0004
npuzzle_10x10_len5_20.txt,True,3,0.0003
npuzzle_10x10_len5_21.txt,True,3,0.0001
npuzzle_10x10_len5_22.txt,True,3,0.0003
npuzzle_10x10_len5_23.txt,True,5,0.0022
npuzzle_10x10_len5_24.txt,True,5,0.0030
npuzzle_10x10_len5_25.txt,True,3,0.0003
npuzzle_10x10_len5_26.txt,True,3,0.0003
npuzzle_10x10_len5_27.txt,True,1,0.0000
npuzzle_10x10_len5_28.txt,True,3,0.0005
npuzzle_10x10_len5_29.txt,True,3,0.0004
npuzzle_10x10_len5_2.txt,True,3,0.0003
npuzzle_10x10_len5_30.txt,True,3,0.0003
npuzzle_10x10_len5_31.txt,True,3,0.0003
npuzzle_10x10_len5_32.txt,True,5,0.0034
npuzzle_10x10_len5_33.txt,True,3,0.0003
npuzzle_10x10_len5_34.txt,True,5,0.0022
